title,genres,keywords,overview
Tag,"Comedy, Action","travel, group of friends, based on true story, classmates, game","For one month every year, five highly competitive friends hit the ground running in a no-holds-barred game of tag they’ve been playing since the first grade. This year, the game coincides with the wedding of their only undefeated player, which should finally make him an easy target. But he knows they’re coming...and he’s ready."
Adrift,"Romance, Thriller, Adventure","sailboat, survival, tahiti, couple, marriage proposal, sailing, boat, vegetarian, based on true story, hurricane","Tami Oldham and Richard Sharp couldn't anticipate that they would be sailing directly into one of the most catastrophic hurricanes in recorded history. In the aftermath of the storm, Tami awakens to find Richard badly injured and their boat in ruins. With no hope of rescue, Tami must now find the strength and determination to save herself and the only man she has ever loved."
Upgrade,"Thriller, Science Fiction, Action","drone, body enhancement, technology, artificial intelligence (a.i.), hacker, future, transhumanism, microship, near future, dystopia, violence, revenge, police, cyborg, implant, cyberpunk, brutality, surgery, quadriplegic, murder","A brutal mugging leaves Grey Trace paralyzed in the hospital and his beloved wife dead. A billionaire inventor soon offers Trace a cure — an artificial intelligence implant called STEM that will enhance his body. Now able to walk, Grey finds that he also has superhuman strength and agility — skills he uses to seek revenge against the thugs who destroyed his life."
American Animals,"Crime, Drama, Documentary","travel, university, disguise, pennsylvania, final exam, library, theft, unreliable narrator, artist, kentucky, based on true story, arrest, heist, usa, art collector, new york city","Lexington, Kentucky, 2004. Four young men attempt to execute one of the most audacious art heists in the history of the United States."
Escape Plan 2: Hades,"Thriller, Mystery, Action","sequel, atlanta, disgrace, specs, cousin cousin relationship, satellite technology, prison, black site, thailand, foolproof, ever-changing, bangkok, sanctuary, prison fight, artificial intelligence (a.i.), battle, mapping, advanced technology, firewall, zookeeper, hate, prison break, hacking, unpredictable, routine, team player, hades, high tech surveillance, kidnapping, high intelligence, revenge, robot, zoo, hopeless, futility, detention, arrogance, teamwork, rubik's cube, intuition, guns, controlled environment, army veteran, torture, georgia, patience, china, impenetrable force field, virtual reality, shanghai, bank account, security expert, martial arts, hostages, layout, warden, force field, imprisonment, survival of the fittest, chechnya, asset, electric shock, hostage situation, laser, callback, held hostage, beatdown","Ray Breslin manages an elite team of security specialists trained in the art of breaking people out of the world's most impenetrable prisons. When his most trusted operative, Shu Ren, is kidnapped and disappears inside the most elaborate prison ever built, Ray must track him down with the help of some of his former friends."
Zoo,"War, Family, History","northern ireland, belfast, children in wartime, world war ii, zoo, based on true story, air raid, north ireland, elephant, 1940s",Young Tom and his misfit friends fight to save 'Buster' the baby elephant during the German air raid bombings of Belfast in 1941.
Incredibles 2,"Adventure, Family, Animation, Action","sequel, super power, cartoon, family, married couple, superhero, parenting","Elastigirl springs into action to save the day, while Mr. Incredible faces his greatest challenge yet – taking care of the problems of his three children."
WSU Breaking Barriers 5,"Drama, Action","pro wrestling, wrestling","WSU returned on Saturday to present Breaking Barriers 5 from the Colossal Sports Academy at the Coliseum in Voorhees, NJ. The Premier Promotion in North American Women's Wrestling ushered in a new era at the event. In addition to the many new additions to the roster, ALL three championships were on the line. First, Maria Manic defended the WSU Tag Team Championships with an unlikely partner against unlikely opponents. Then, Kiera Hogan returned to defend the Spirit Championship against Jordynne Grace. Finally, the main event saw Mercedes Martinez defend the WSU World Championship against Tessa Blanchard. All this and so much more went down on Saturday at Breaking Barriers 5."
Office Uprising,"Horror, Comedy, Action","office, gore, arms industry, texas, escape, workplace comedy, disease, murder",The compound of an arms manufacturer turns into a zombie nightmare when its workers are given the wrong formula.
Under the Silver Lake,"Crime, Drama, Mystery","surrealism, subliminal message, seduction, part animation, neo-noir, dream sequence, voyeur, hollywood hills, dark comedy, secret society","Young and disenchanted Sam meets a mysterious and beautiful woman who's swimming in his building's pool one night. When she suddenly vanishes the next morning, Sam embarks on a surreal quest across Los Angeles to decode the secret behind her disappearance, leading him into the murkiest depths of mystery, scandal and conspiracy."
Sicario: Day of the Soldado,"Crime, Thriller, Action","sequel, cia, rescue, cartel, mexican cartel, corruption, neo-noir, usa–mexico border, explosion, brutality, sign languages, shootout, drugs",Agent Matt Graver teams up with operative Alejandro Gillick to prevent Mexican drug cartels from smuggling terrorists across the United States border.
The First Purge,"Thriller, Horror, Action","sequel, social media, apartment buildings, new jersey, prequel, purge, abuse of power, church, staten island, murder, new york city","To push the crime rate below one percent for the rest of the year, the New Founding Fathers of America test a sociological theory that vents aggression for one night in one isolated community. But when the violence of oppressors meets the rage of the others, the contagion will explode from the trial-city borders and spread across the nation."
Sorry to Bother You,"Fantasy, Science Fiction, Comedy","oakland, telemarketing, human animal hybrid, surrealism, modern slavery, race relations, poverty, slavery, telemarketer, satire, corporate conspiracy, california","In an alternate present-day version of Oakland, black telemarketer Cassius Green discovers a magical key to professional success – which propels him into a macabre universe."
Mamma Mia! Here We Go Again,"Romance, Comedy","sequel, greece, music movie, estranged grandparent, lgbt interest, long lost love, aftercreditsstinger, jukebox musical, abba, musical, greek island, estranged mother","Five years after meeting her three fathers, Sophie Sheridan prepares to open her mother’s hotel. In 1979, young Donna Sheridan meets the men who each could be Sophie’s biological father."
